id,persona_id,persona,persona_group,task_id,task,required_authority_classes,required_source_classes,candidate_source_ids,acceptable_evidence,currency_tolerance,likely_failure_modes,definition_of_success,professional_escalation
P15-T11,P15,Policy official or Bill team,government,T11,"Prepare litigation, advice, policy, compliance or enforcement work",binding-authority | persuasive-authority | official-guidance,SC01 | SC03 | SC24 | SC25 | SC26 | SC09 | SC20,SRC001 | SRC002 | SRC007 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC009,"Authority-ranked source set, selected passages, adverse material, currency and assumptions.",Live before issue/decision. Qualified human review is mandatory before consequential use.,confirmation bias | material adverse source omitted | official guidance elevated above law,"Deliverable is reproducible, balanced and professionally reviewable.",True
P15-T12,P15,Policy official or Bill team,government,T12,Research legislative intent,history | binding-authority,SC01 | SC03 | SC24 | SC25 | SC26,SRC001 | SRC002 | SRC007 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052,"Official Bill/stage documents, Hansard passages, explanatory notes and enacted text.",Historical source set fixed; later interpretation segregated. Qualified human review is mandatory before consequential use.,ministerial statement treated as law | wrong Bill version | selective quotation,History is connected to enacted provisions without overstating interpretive weight.,True
P15-T13,P15,Policy official or Bill team,government,T13,Monitor legal change,binding-authority | procedural-material | delegated-administrative-rules | official-guidance,SC01 | SC03 | SC24 | SC25 | SC26 | SC04 | SC21,SRC001 | SRC002 | SRC007 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC032,"Official feeds/logs, hashes, version differences and impact classification.",Source-specific service-level objective; critical sources daily or event-driven. Qualified human review is mandatory before consequential use.,silent source deletion | publication event missed | cosmetic change escalated as legal change,"Change event is detected, typed, evidenced, impact-assessed and reviewable.",True
P15-T15,P15,Policy official or Bill team,government,T15,Draft or check legal instruments,binding-authority | history | procedural-material,SC01 | SC03 | SC24 | SC25 | SC26 | SC02 | SC05,SRC001 | SRC002 | SRC007 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC047,"Enabling provisions, drafting guidance, precedents with status, current affected law and versioned draft.",Live at drafting/clearance milestones. Qualified human review is mandatory before consequential use.,wrong enabling power | defective cross-reference | extent/commencement mismatch,Each drafting proposition and dependency is traceable; human counsel approves.,True
P15-T16,P15,Policy official or Bill team,government,T16,Produce accessible public explanation,binding-authority | official-guidance | legal-service-information,SC01 | SC03 | SC24 | SC25 | SC26 | SC22 | SC28,SRC001 | SRC002 | SRC007 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC022,"Authoritative passages plus official service guidance, with simplifications/limits labelled.",Live for current rights/process. Qualified human review is mandatory before consequential use.,exception omitted | advice presented as certainty | accessibility/translation errors,"Explanation is accurate, scoped, readable, accessible and links to authoritative evidence.",True
P15-T18,P15,Policy official or Bill team,government,T18,Identify institutional competence,binding-authority | legal-service-information,SC01 | SC03 | SC24 | SC25 | SC26 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC006 | SRC044 | SRC017 | SRC045 | SRC004 | SRC005 | SRC051 | SRC052 | SRC009,"Founding/empowering provisions, delegation, jurisdiction and temporal organisation identity.",Live for current bodies. Qualified human review is mandatory before consequential use.,organisation page treated as power source | successor/predecessor confused | delegation missing,"Competence, delegation, review route and date are sourced.",True
P16-T01,P16,Regulator,regulation,T01,Locate controlling authority,binding-authority,SC01 | SC20 | SC21 | SC22 | SC09 | SC10,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC009 | SRC010,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research. Qualified human review is mandatory before consequential use.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",True
P16-T02,P16,Regulator,regulation,T02,Determine whether law is in force,binding-authority,SC01 | SC20 | SC21 | SC22 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC004 | SRC003,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers. Qualified human review is mandatory before consequential use.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P16-T04,P16,Regulator,regulation,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC20 | SC21 | SC22 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC009 | SRC011,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction. Qualified human review is mandatory before consequential use.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",True
P16-T05,P16,Regulator,regulation,T05,"Trace amendments, commencement and repeal",binding-authority,SC01 | SC20 | SC21 | SC22 | SC05,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC003 | SRC004,"Official effect feeds, amending instruments/provisions, commencement orders and selected passages.",Live verification at answer time. Qualified human review is mandatory before consequential use.,absence of recorded effect treated as no effect | prospective effect treated as operative | repeal savings omitted,Bidirectional change graph and current application status are evidenced.,True
P16-T06,P16,Regulator,regulation,T06,Identify judicial interpretation and treatment,binding-authority | persuasive-authority,SC01 | SC20 | SC21 | SC22 | SC09 | SC10 | SC13,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC009 | SRC010,"Official judgments, cited passage, court hierarchy, later treatment and appeal status.",Live citator/treatment check before reliance. Qualified human review is mandatory before consequential use.,citation occurrence treated as approval | headnote substituted for judgment | later reversal missed,Treatment verbs are passage-evidenced and hierarchy/date qualified.,True
P16-T07,P16,Regulator,regulation,T07,Construct a chronology,binding-authority | history | official-guidance,SC01 | SC20 | SC21 | SC22 | SC24 | SC04,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC017 | SRC044,"Typed dated events with source identity, event date and publication/retrieval date separated.",Depends on task; current chronologies checked live. Qualified human review is mandatory before consequential use.,publication date confused with effective date | events silently omitted | time zones/version ambiguity,"A typed, source-backed chronology exposes gaps and conflicting dates.",True
P16-T11,P16,Regulator,regulation,T11,"Prepare litigation, advice, policy, compliance or enforcement work",binding-authority | persuasive-authority | official-guidance,SC01 | SC20 | SC21 | SC22 | SC09,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC009 | SRC010,"Authority-ranked source set, selected passages, adverse material, currency and assumptions.",Live before issue/decision. Qualified human review is mandatory before consequential use.,confirmation bias | material adverse source omitted | official guidance elevated above law,"Deliverable is reproducible, balanced and professionally reviewable.",True
P16-T13,P16,Regulator,regulation,T13,Monitor legal change,binding-authority | procedural-material | delegated-administrative-rules | official-guidance,SC01 | SC20 | SC21 | SC22 | SC04 | SC24,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC004 | SRC017,"Official feeds/logs, hashes, version differences and impact classification.",Source-specific service-level objective; critical sources daily or event-driven. Qualified human review is mandatory before consequential use.,silent source deletion | publication event missed | cosmetic change escalated as legal change,"Change event is detected, typed, evidenced, impact-assessed and reviewable.",True
P16-T15,P16,Regulator,regulation,T15,Draft or check legal instruments,binding-authority | history | procedural-material,SC01 | SC20 | SC21 | SC22 | SC02 | SC03 | SC05,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC047 | SRC006,"Enabling provisions, drafting guidance, precedents with status, current affected law and versioned draft.",Live at drafting/clearance milestones. Qualified human review is mandatory before consequential use.,wrong enabling power | defective cross-reference | extent/commencement mismatch,Each drafting proposition and dependency is traceable; human counsel approves.,True
P16-T18,P16,Regulator,regulation,T18,Identify institutional competence,binding-authority | legal-service-information,SC01 | SC20 | SC21 | SC22 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC009 | SRC011,"Founding/empowering provisions, delegation, jurisdiction and temporal organisation identity.",Live for current bodies. Qualified human review is mandatory before consequential use.,organisation page treated as power source | successor/predecessor confused | delegation missing,"Competence, delegation, review route and date are sourced.",True
P16-T19,P16,Regulator,regulation,T19,Identify remedies and enforcement outcomes,binding-authority | procedural-material | delegated-administrative-rules | persuasive-authority,SC01 | SC20 | SC21 | SC22 | SC17 | SC23,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC023 | SRC024,"Operative remedy provisions, procedure, official decisions/notices and appeal status.",Live for current remedies and routes. Qualified human review is mandatory before consequential use.,past outcome treated as guaranteed | appeal route missed | regulator summary substituted for notice,"Remedy conditions, forum, deadline, discretion and evidence are explicit.",True
P17-T01,P17,Inspector or enforcement officer,regulation,T01,Locate controlling authority,binding-authority,SC01 | SC19 | SC20 | SC21 | SC09 | SC10,SRC001 | SRC002 | SRC007 | SRC028 | SRC029 | SRC030 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research. Qualified human review is mandatory before consequential use.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",True
